,imdbID,Title,Released,Country,Language,Rated,Runtime,Year,imdbRating,imdbVotes,tomatoConsensus,tomatoFresh,tomatoMeter,tomatoRating,tomatoReviews,tomatoRotten,tomatoUserMeter,tomatoUserRating,tomatoUserReviews,Nominated Oscars,Won Oscars,Other wins,Other nominations, Action, Adventure, Biography, Comedy, Crime, Drama, Family, Fantasy, History, Horror, Music, Musical, Mystery, Romance, Sci-Fi, Sport, Thriller, War, Western,Action,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,Horror,Musical,Mystery,N/A,Romance,Sci-Fi,Thriller,Western,Unnamed: 0.1,titles_new,wiki_url_new,imdb_link_new,rt_link_new,imdb_id,budget_new,currency_budget,box_office_new,currency_bo,budget_USD,box_USD,A_mean_age,A_mean_credit,D_mean_age,D_mean_credit,mean_rate
65,tt1618442,The Last Witch Hunter,2015-10-23 00:00:00,"USA, China, Canada",English,PG-13,106.0,2015,6.1,12503,"Grim, plodding, and an overall ill fit for Vin Diesel's particular charms, The Last Witch Hunter will bore and/or confuse all but the least demanding action-fantasy fans.",17.0,16.0,3.8,107.0,90.0,49.0,3.2,31517.0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,289.0,The Last Witch Hunter,/wiki/The_Last_Witch_Hunter,http://www.imdb.com/title/tt1618442/,http://www.rottentomatoes.com/m/the_last_witch_hunter/,tt1618442,90000000.0,USD,,,,,37.4873944787,48.0,44.8295687885,9.0,6.25
68,tt1638355,The Man from U.N.C.L.E.,2015-08-14 00:00:00,"USA, UK","English, Russian, German, Italian",PG-13,116.0,2015,7.4,90361,"The Man from U.N.C.L.E. tries to distract from an unremarkable story with charismatic stars and fizzy set pieces, adding up to an uneven action thriller with just enough style to overcome its lack of substance.",143.0,67.0,6.2,214.0,71.0,78.0,3.8,40072.0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,213.0,The Man from U.N.C.L.E.,/wiki/The_Man_from_U.N.C.L.E._(film),http://www.imdb.com/title/tt1638355/,,tt1638355,75000000.0,USD,45372659.0,USD,,45372659.0,29.1288834369,25.6666666667,46.9240246407,13.0,7.5
71,tt1658801,Freeheld,2015-11-05 00:00:00,USA,English,PG-13,103.0,2015,6.3,675,,,,,,,,,,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,262.0,Freeheld,/wiki/Freeheld_(2015_film),http://www.imdb.com/title/tt1658801/,http://www.rottentomatoes.com/m/771417802/,tt1658801,,,144419.0,USD,,144419.0,48.012151958,62.3333333333,39.8439425051,8.0,6.3
74,tt1661199,Cinderella,2015-03-13 00:00:00,"USA, UK",English,PG,105.0,2015,7.1,78660,"Refreshingly traditional in a revisionist era, Kenneth Branagh's Cinderella proves Disney hasn't lost any of its old-fashioned magic.",167.0,85.0,7.2,197.0,30.0,79.0,4.0,73831.0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False,False,False,66.0,Cinderella,/wiki/Cinderella_(2015_film),http://www.imdb.com/title/tt1661199/,http://www.rottentomatoes.com/m/cinderella_2013/,tt1661199,95000000.0,USD,201148159.0,USD,,201148159.0,43.7531767997,46.0,54.2532511978,19.0,7.55
78,tt1663202,The Revenant,2016-01-08 00:00:00,USA,English,R,156.0,2015,,,,,,,,,,,,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,316.0,The Revenant,/wiki/The_Revenant_(2015_film),http://www.imdb.com/title/tt1663202/,,tt1663202,135000000.0,USD,,,,,37.6060470791,38.3333333333,52.3997262149,15.0,
81,tt1674771,Entourage,2015-06-03 00:00:00,USA,English,R,104.0,2015,6.7,44182,"Entourage retains many elements of the HBO series, but feels less like a film than a particularly shallow, cameo-studded extended episode of the show.",56.0,32.0,4.6,177.0,121.0,63.0,3.6,29586.0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,160.0,Entourage,/wiki/Entourage_(film),http://www.imdb.com/title/tt1674771/,http://www.rottentomatoes.com/m/entourage/,tt1674771,30000000.0,USD,32361416.0,USD,,32361416.0,38.8768471487,31.6666666667,47.1567419576,6.0,6.95
84,tt1727770,Absolutely Anything,2015-08-14 00:00:00,"UK, USA","English, French",,85.0,2015,6.1,2109,,2.0,9.0,3.0,23.0,21.0,,,,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,218.0,Absolutely Anything,/wiki/Absolutely_Anything,http://www.imdb.com/title/tt1727770/,http://www.rottentomatoes.com/m/absolutely_anything/,tt1727770,,,,,,,44.2744749309,63.5,73.53045859,16.0,6.1
86,tt1727776,Scouts Guide to the Zombie Apocalypse,2015-10-30 00:00:00,USA,English,R,93.0,2015,6.5,3021,"Scouts Guide to the Zombie Apocalypse fails to live up to its intriguingly wacky title, instead delivering yet another zombie comedy-thriller with a tired T&A twist.",32.0,44.0,4.7,73.0,41.0,55.0,3.4,6195.0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,291.0,Scouts Guide to the Zombie Apocalypse,/wiki/Scouts_Guide_to_the_Zombie_Apocalypse,http://www.imdb.com/title/tt1727776/,,tt1727776,15000000.0,USD,,,,,22.0806330445,20.5,40.6707734428,5.0,6.65
88,tt1781922,No Escape,2015-08-26 00:00:00,USA,"English, French, Thai",R,103.0,2015,6.8,23216,No Escape's talented cast and taut B-movie thrills are unfortunately offset by its one-dimensional characters and uncomfortably retrograde worldview.,60.0,46.0,4.9,130.0,70.0,66.0,3.6,14662.0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,220.0,No Escape,/wiki/No_Escape_(2015_film),http://www.imdb.com/title/tt1781922/,http://www.rottentomatoes.com/m/no_escape_2015/,tt1781922,5000000.0,USD,27051218.0,USD,,27051218.0,42.2923708735,52.0,42.6475017112,7.0,7.0
90,tt1798684,Southpaw,2015-07-24 00:00:00,USA,English,R,124.0,2015,7.5,98250,,,,,,,,,,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,169.0,Southpaw,/wiki/Southpaw_(film),http://www.imdb.com/title/tt1798684/,http://www.rottentomatoes.com/m/southpaw_2013/,tt1798684,30000000.0,USD,52316554.0,USD,,52316554.0,35.5792075443,36.0,49.5085557837,20.0,7.5
92,tt1810683,Little Boy,2015-04-24 00:00:00,"USA, Mexico",English,PG-13,106.0,2015,7.4,10996,"Well-meaning but manipulative on a horrifically misguided scale, Little Boy is the rare faith-based film that many viewers may find legitimately offensive.",10.0,21.0,4.4,47.0,37.0,80.0,4.1,7365.0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,121.0,Little Boy,/wiki/Little_Boy_(film),http://www.imdb.com/title/tt1810683/,,tt1810683,20000000.0,USD,6420319.0,USD,,6420319.0,48.890994928,39.0,37.7796030116,4.0,7.8
94,tt1823672,Chappie,2015-03-06 00:00:00,"USA, Mexico",English,R,120.0,2015,6.9,142699,"Chappie boasts more of the big ideas and visual panache that director Neill Blomkamp has become known for -- and, sadly, more of the narrative shortcomings.",57.0,31.0,4.9,184.0,127.0,57.0,3.4,47365.0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,80.0,Chappie,/wiki/Chappie_(film),http://www.imdb.com/title/tt1823672/,http://www.rottentomatoes.com/m/chappie/,tt1823672,49000000.0,USD,31569268.0,USD,,31569268.0,33.3336866044,15.5,35.4661190965,9.0,6.85
96,tt1837562,A Royal Night Out,2015-12-04 00:00:00,UK,English,PG-13,97.0,2015,6.4,2123,,,,,,,,,,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,132.0,A Royal Night Out,/wiki/A_Royal_Night_Out,http://www.imdb.com/title/tt1837562/,,tt1837562,,,,,,,35.8734599589,42.6666666667,55.5537303217,31.0,6.4
99,tt1850457,Sisters,2015-12-18 00:00:00,USA,English,R,118.0,2015,,,,,,,,,,0.0,63.0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,308.0,Sisters,/wiki/Sisters_(2015_film),http://www.imdb.com/title/tt1850457/,http://www.rottentomatoes.com/m/sisters_2015/,tt1850457,,,,,,,38.3569455766,49.75,45.1553730322,9.0,
103,tt1883367,The Human Centipede III (Final Sequence),2015-06-18 00:00:00,USA,English,NOT RATED,102.0,2015,3.0,5906,"Human Centipede fans may find enough extreme body horror in the third installment to satisfy, but filmgoers of every other persuasion are strongly advised to stay far, far away from Final Sequence.",8.0,19.0,2.2,43.0,35.0,9.0,1.4,2257.0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,156.0,The Human Centipede 3,/wiki/The_Human_Centipede_3_(Final_Sequence),http://www.imdb.com/title/tt1883367/,http://www.rottentomatoes.com/m/the_human_centipede_iii/,tt1883367,,,,,,,49.4912640945,294.5,41.8015058179,6.0,2.9
105,tt1895587,Spotlight,2015-12-31 00:00:00,USA,English,R,128.0,2015,8.2,1545,"Spotlight gracefully handles the lurid details of its fact-based story while resisting the temptation to lionize its heroes, resulting in a drama that honors the audience as well as its real-life subjects.",158.0,98.0,9.0,162.0,4.0,96.0,4.5,20798.0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,233.0,Spotlight,/wiki/Spotlight_(film),http://www.imdb.com/title/tt1895587/,,tt1895587,,,,,,,51.4816029081,59.5,49.916495551,5.0,8.6
