,imdbID,Title,Released,Country,Language,Rated,Runtime,Year,imdbRating,imdbVotes,tomatoConsensus,tomatoFresh,tomatoMeter,tomatoRating,tomatoReviews,tomatoRotten,tomatoUserMeter,tomatoUserRating,tomatoUserReviews,Nominated Oscars,Won Oscars,Other wins,Other nominations,Action,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,History,Horror,Music,Musical,Mystery,N/A,Romance,Sci-Fi,Sport,Thriller,War,Western,wiki_url_new,imdb_link_new,rt_link_new,budget_USD,box_USD,A_mean_age,A_mean_credit,D_mean_age,D_mean_credit,mean_rate
195,tt2555736,The Second Best Exotic Marigold Hotel,2015-03-06 00:00:00,"UK, USA",English,PG,122.0,2015,6.6,16217,"The Second Best Exotic Marigold Hotel is about as original as its title -- but with a cast this talented and effortlessly charming, that hardly matters.",95.0,62.0,6.0,153.0,58.0,61.0,3.5,17135.0,0,0,0,0,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,/wiki/The_Second_Best_Exotic_Marigold_Hotel,http://www.imdb.com/title/tt2555736/,,,33071558.0,71.4517093555,47.5,65.9082819986,25.0,6.8
197,tt2561572,Get Hard,2015-03-27 00:00:00,USA,English,R,100.0,2015,6.1,62146,"A waste of two fine funnymen, Get Hard settles for tired and offensive gags instead of tapping into its premise's boundary-pushing potential.",45.0,29.0,4.3,155.0,110.0,47.0,3.2,51295.0,0,0,0,0,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,/wiki/Get_Hard,http://www.imdb.com/title/tt2561572/,http://www.rottentomatoes.com/m/get_hard/,,90353764.0,40.3545911652,69.3333333333,41.2320328542,4.0,6.25
200,tt2637276,Ted 2,2015-06-26 00:00:00,USA,English,R,115.0,2015,6.5,73240,"Ted 2 reunites Mark Wahlberg and Seth MacFarlane for another round of sophomoric, scatological humor -- and just as before, your enjoyment will depend on your tolerance for all of the above.",80.0,46.0,5.2,175.0,95.0,57.0,3.4,57133.0,0,0,0,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,/wiki/Ted_2,http://www.imdb.com/title/tt2637276/,http://www.rottentomatoes.com/m/ted_2/,,81257500.0,38.5653079354,47.0,41.6646132786,10.0,6.65
203,tt2637294,Hot Tub Time Machine 2,2015-02-20 00:00:00,USA,English,R,93.0,2015,5.1,22168,"A shallow dip overflowing with juvenile humor, Hot Tub Time Machine 2 is a lukewarm sequel that's healthiest to avoid.",13.0,14.0,3.3,94.0,81.0,28.0,2.6,34553.0,0,0,0,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,/wiki/Hot_Tub_Time_Machine_2,http://www.imdb.com/title/tt2637294/,http://www.rottentomatoes.com/m/hot_tub_time_machine_2/,,12282677.0,41.3669971796,64.25,-0.755646817248,12.0,5.15
207,tt2717822,Blackhat,2015-01-16 00:00:00,USA,"English, Mandarin, Spanish",R,133.0,2015,5.4,32017,"Thematically timely but dramatically inert, Blackhat strands Chris Hemsworth in a muddled misfire from director Michael Mann.",53.0,34.0,4.9,157.0,104.0,24.0,2.5,19310.0,0,0,0,0,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,/wiki/Blackhat_(film),http://www.imdb.com/title/tt2717822/,http://www.rottentomatoes.com/m/blackhat/,,7097125.0,43.2570511459,38.6666666667,71.9452429843,20.0,5.2
210,tt2719848,Everest,2015-09-25 00:00:00,"UK, USA, Iceland",English,PG-13,121.0,2015,7.2,56973,,,,,,,,,,0,0,0,0,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,/wiki/Everest_(2015_film),http://www.imdb.com/title/tt2719848/,http://www.rottentomatoes.com/m/everest_2015/,,38253250.0,42.3109886587,39.5,49.5742642026,13.0,7.2
212,tt2726560,The Longest Ride,2015-04-10 00:00:00,USA,English,PG-13,128.0,2015,7.1,35042,"The Longest Ride is less manipulative than the average Nicholas Sparks film, but it's still saccharine and hopelessly contrived -- not that it'll matter to the target audience.",32.0,30.0,4.3,107.0,75.0,73.0,3.9,28975.0,0,0,0,0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,/wiki/The_Longest_Ride_(film),http://www.imdb.com/title/tt2726560/,http://www.rottentomatoes.com/m/the_longest_ride/,,37432299.0,50.5947980835,45.3333333333,46.2012320329,10.0,7.45
215,tt2820852,Furious 7,2015-04-03 00:00:00,"Japan, USA",English,PG-13,137.0,2015,7.3,239272,"Serving up a fresh round of over-the-top thrills while adding unexpected dramatic heft, Furious 7 keeps the franchise moving in more ways than one.",174.0,81.0,6.7,216.0,42.0,83.0,4.1,191573.0,0,0,0,0,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,/wiki/Furious_7,http://www.imdb.com/title/tt2820852/,http://www.rottentomatoes.com/m/furious_7/,,352786830.0,45.6163501734,40.3333333333,38.0971937029,12.0,7.75
218,tt2848292,Pitch Perfect 2,2015-05-15 00:00:00,USA,English,PG-13,115.0,2015,6.6,73604,"Pitch Perfect 2 sings in sweet comedic harmony, even if it doesn't hit quite as many high notes as its predecessor.",112.0,65.0,6.0,173.0,61.0,66.0,3.7,75912.0,0,0,0,0,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,/wiki/Pitch_Perfect_2,http://www.imdb.com/title/tt2848292/,http://www.rottentomatoes.com/m/pitch_perfect_2/,,183436380.0,28.3856458394,30.3333333333,41.2566735113,7.0,7.0
221,tt2870648,Amy,2015-07-03 00:00:00,"UK, USA",English,R,128.0,2015,8.0,10959,"As riveting as it is sad, Amy is a powerfully honest look at the twisted relationship between art and celebrity -- and the lethal spiral of addiction.",155.0,96.0,8.5,161.0,6.0,91.0,4.3,16418.0,0,0,0,0,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,/wiki/Amy_(2015_film),http://www.imdb.com/title/tt2870648/,http://www.rottentomatoes.com/m/amy_2015/,,8312696.0,37.1517225645,1.5,43.5017111567,15.0,8.3
229,tt2884018,Macbeth,2015-12-04 00:00:00,"UK, France, USA",English,,113.0,2015,7.5,7154,,,,,,,,,,0,0,0,0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,/wiki/Macbeth_(2015_film),http://www.imdb.com/title/tt2884018/,http://www.rottentomatoes.com/m/macbeth_2015/,,,39.5876796715,62.5,41.3360711841,5.0,7.5
231,tt2908446,Insurgent,2015-03-20 00:00:00,USA,English,PG-13,119.0,2015,6.3,116955,"Shailene Woodley gives it her all, but Insurgent is still a resounding step back for a franchise struggling to distinguish itself from the dystopian YA crowd.",49.0,29.0,5.1,167.0,118.0,61.0,3.5,74239.0,0,0,0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,/wiki/The_Divergent_Series:_Insurgent,http://www.imdb.com/title/tt2908446/,http://www.rottentomatoes.com/m/insurgent/,,129995817.0,33.0102669405,37.5,47.2142368241,11.0,6.65
233,tt2909116,Wolf Totem,2015-02-19 00:00:00,"China, France","Mandarin, Mongolian",PG-13,121.0,2015,6.6,2212,"As a visual experience, Wolf Totem boasts thrills that compensate for the significant narrative sacrifices made in bringing Jiang Rong's novel to the screen.",19.0,70.0,6.6,27.0,8.0,54.0,3.4,348.0,0,0,0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,/wiki/Wolf_Totem_(film),http://www.imdb.com/title/tt2909116/,http://www.rottentomatoes.com/m/wolf_totem/,,210303.0,-0.758384668036,21.0,71.3867214237,14.0,6.7
234,tt2910904,The Dressmaker,1929-08-20 00:00:00,Australia,English,,118.0,2015,7.6,1519,,28.0,64.0,5.9,44.0,16.0,,,,0,0,0,0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,/wiki/The_Dressmaker_(2015_film),http://www.imdb.com/title/tt2910904/,http://www.rottentomatoes.com/m/the_dressmaker/,,,-39.5013252852,49.6666666667,-31.0417522245,5.0,7.6
237,tt2917388,Kidnapping Mr. Heineken,2015-03-06 00:00:00,"Belgium, Netherlands, USA, UK","English, Dutch, German",R,95.0,2015,6.1,10427,,11.0,20.0,4.6,55.0,44.0,25.0,2.7,713.0,0,0,0,0,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,/wiki/Kidnapping_Freddy_Heineken,http://www.imdb.com/title/tt2917388/,,,46128.0,37.9816156714,40.3333333333,55.7864476386,22.0,5.75
240,tt2918436,The Lazarus Effect,2015-02-27 00:00:00,USA,English,PG-13,83.0,2015,5.2,22042,,,,,,,,3.0,52.0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,/wiki/The_Lazarus_Effect_(2015_film),http://www.imdb.com/title/tt2918436/,http://www.rottentomatoes.com/m/the_lazarus_effect/,,25799043.0,32.105218438,38.6666666667,31.3675564682,11.0,5.6
