,imdbID,Title,Released,Awards,Director,Actors,Country,Language,Rated,Runtime,Year,Metascore,imdbRating,imdbVotes,tomatoConsensus,tomatoFresh,tomatoMeter,tomatoRating,tomatoReviews,tomatoRotten,tomatoUserMeter,tomatoUserRating,tomatoUserReviews,Nominated Oscars,Won Oscars,Other wins,Other nominations,Action,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,History,Horror,Music,Musical,Mystery,N/A,Romance,Sci-Fi,Sport,Thriller,War,Western,D_birthplace,D_DOB,D_name,D_credits,D_wins,D_age,A_birthplace,A_DOB,A_name,A_credits,A_wins,A_age,Director Nominated Oscars,Director Won Oscars,Actor Nominated Oscars,Actor Won Oscars,wiki_url_new,imdb_link_new,rt_link_new,budget_USD,box_USD
20,tt1018765,Our Brand Is Crisis,2015-10-30 00:00:00,,David Gordon Green,Billy Bob Thornton,USA,"English, Spanish",R,107.0,2015,52.0,5.6,"1,443","Our Brand Is Crisis offers sporadic amusement and benefits from a talented cast, but ultimately lacks enough of a bite to add much of interest to the political satire genre.",37.0,33.0,5.3,113.0,76.0,43.0,3.1,5341.0,0,0,0,0,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,"Little Rock, Arkansas, USA",1975-4-9,David Gordon Green,18.0,13 wins & 32 nominations.,40.6242299795,"Hot Springs, Arkansas, USA",1955-8-4,Billy Bob Thornton,84.0,"Won
        1
        Oscar.",60.3039014374,0,0,0,1,/wiki/Our_Brand_Is_Crisis_(2015_film),http://www.imdb.com/title/tt1018765/,http://www.rottentomatoes.com/m/our_brand_is_crisis_2016/,,
21,tt1018765,Our Brand Is Crisis,2015-10-30 00:00:00,,David Gordon Green,Sandra Bullock,USA,"English, Spanish",R,107.0,2015,52.0,5.6,"1,443","Our Brand Is Crisis offers sporadic amusement and benefits from a talented cast, but ultimately lacks enough of a bite to add much of interest to the political satire genre.",37.0,33.0,5.3,113.0,76.0,43.0,3.1,5341.0,0,0,0,0,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,"Little Rock, Arkansas, USA",1975-4-9,David Gordon Green,18.0,13 wins & 32 nominations.,40.6242299795,"Arlington, Virginia, USA",1964-7-26,Sandra Bullock,52.0,"Won
        1
        Oscar.",51.3264887064,0,0,0,1,/wiki/Our_Brand_Is_Crisis_(2015_film),http://www.imdb.com/title/tt1018765/,http://www.rottentomatoes.com/m/our_brand_is_crisis_2016/,,
22,tt1018765,Our Brand Is Crisis,2015-10-30 00:00:00,,David Gordon Green,Anthony Mackie,USA,"English, Spanish",R,107.0,2015,52.0,5.6,"1,443","Our Brand Is Crisis offers sporadic amusement and benefits from a talented cast, but ultimately lacks enough of a bite to add much of interest to the political satire genre.",37.0,33.0,5.3,113.0,76.0,43.0,3.1,5341.0,0,0,0,0,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,"Little Rock, Arkansas, USA",1975-4-9,David Gordon Green,18.0,13 wins & 32 nominations.,40.6242299795,"New Orleans, Louisiana, USA",1978-9-23,Anthony Mackie,52.0,6 wins & 22 nominations.,37.1663244353,0,0,0,0,/wiki/Our_Brand_Is_Crisis_(2015_film),http://www.imdb.com/title/tt1018765/,http://www.rottentomatoes.com/m/our_brand_is_crisis_2016/,,
23,tt1029360,Poltergeist,2015-05-22 00:00:00,,Gil Kenan,Sam Rockwell,"USA, Canada",English,PG-13,93.0,2015,47.0,5.0,"32,812","Paying competent homage without adding anything of real value to the original Poltergeist, this remake proves just as ephemeral (but half as haunting) as its titular spirit.",32.0,31.0,4.8,102.0,70.0,23.0,2.5,35883.0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,"London, England, UK",1976-10-16,Gil Kenan,3.0,"Nominated for
        1
        Oscar.",39.1019849418,"Daly City, California, USA",1968-11-5,Sam Rockwell,85.0,13 wins & 27 nominations.,47.0472279261,1,0,0,0,/wiki/Poltergeist_(2015_film),http://www.imdb.com/title/tt1029360/,http://www.rottentomatoes.com/m/poltergeist-2009/,,47415690.0
24,tt1029360,Poltergeist,2015-05-22 00:00:00,,Gil Kenan,Rosemarie DeWitt,"USA, Canada",English,PG-13,93.0,2015,47.0,5.0,"32,812","Paying competent homage without adding anything of real value to the original Poltergeist, this remake proves just as ephemeral (but half as haunting) as its titular spirit.",32.0,31.0,4.8,102.0,70.0,23.0,2.5,35883.0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,"London, England, UK",1976-10-16,Gil Kenan,3.0,"Nominated for
        1
        Oscar.",39.1019849418,"Flushing, Queens, New York City, New York, USA",1971-10-26,Rosemarie DeWitt,40.0,8 wins & 17 nominations.,44.076659822,1,0,0,0,/wiki/Poltergeist_(2015_film),http://www.imdb.com/title/tt1029360/,http://www.rottentomatoes.com/m/poltergeist-2009/,,47415690.0
25,tt1137470,Accidental Love,2015-02-10 00:00:00,,David O. Russell,Jessica Biel,"USA, UK",English,PG-13,100.0,2015,20.0,4.1,"3,562",,2.0,7.0,3.2,29.0,27.0,16.0,2.0,4625.0,0,0,0,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,"New York City, New York, USA",1958-8-20,David O. Russell,12.0,"Nominated for
        5
        Oscars.",57.2594113621,"Ely, Minnesota, USA",1982-3-3,Jessica Biel,37.0,5 wins & 20 nominations.,33.7248459959,5,0,0,0,/wiki/Accidental_Love,http://www.imdb.com/title/tt1137470/,http://www.rottentomatoes.com/m/accidental_love/,,
26,tt1137470,Accidental Love,2015-02-10 00:00:00,,David O. Russell,Jenny Gulley,"USA, UK",English,PG-13,100.0,2015,20.0,4.1,"3,562",,2.0,7.0,3.2,29.0,27.0,16.0,2.0,4625.0,0,0,0,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,"New York City, New York, USA",1958-8-20,David O. Russell,12.0,"Nominated for
        5
        Oscars.",57.2594113621,"Raleigh, North Carolina, USA",1987-8-26,Jenny Gulley,11.0,0,28.2436687201,5,0,0,0,/wiki/Accidental_Love,http://www.imdb.com/title/tt1137470/,http://www.rottentomatoes.com/m/accidental_love/,,
27,tt1178665,A Walk in the Woods,2015-09-02 00:00:00,,Ken Kwapis,Nick Nolte,USA,English,R,104.0,2015,51.0,6.5,"3,392","Amiable yet less compelling than any road trip movie starring Robert Redford and Nick Nolte should be, A Walk in the Woods is ultimately a bit too pedestrian.",62.0,44.0,5.4,140.0,78.0,56.0,3.4,10027.0,0,0,0,0,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,"Belleville, Illinois, USA",1957-8-17,Ken Kwapis,35.0,"Nominated for
        2
        Primetime Emmys.",58.2669404517,"Omaha, Nebraska, USA",1941-2-8,Nick Nolte,99.0,"Nominated for
        3
        Oscars.",74.7871321013,0,0,3,0,/wiki/A_Walk_in_the_Woods_(film),http://www.imdb.com/title/tt1178665/,,,28817976.0
28,tt1178665,A Walk in the Woods,2015-09-02 00:00:00,,Ken Kwapis,Emma Thompson,USA,English,R,104.0,2015,51.0,6.5,"3,392","Amiable yet less compelling than any road trip movie starring Robert Redford and Nick Nolte should be, A Walk in the Woods is ultimately a bit too pedestrian.",62.0,44.0,5.4,140.0,78.0,56.0,3.4,10027.0,0,0,0,0,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,"Belleville, Illinois, USA",1957-8-17,Ken Kwapis,35.0,"Nominated for
        2
        Primetime Emmys.",58.2669404517,"Paddington, London, England, UK",1959-4-15,Emma Thompson,67.0,"Won
        2
        Oscars.",56.6078028747,0,0,0,2,/wiki/A_Walk_in_the_Woods_(film),http://www.imdb.com/title/tt1178665/,,,28817976.0
29,tt1178665,A Walk in the Woods,2015-09-02 00:00:00,,Ken Kwapis,Robert Redford,USA,English,R,104.0,2015,51.0,6.5,"3,392","Amiable yet less compelling than any road trip movie starring Robert Redford and Nick Nolte should be, A Walk in the Woods is ultimately a bit too pedestrian.",62.0,44.0,5.4,140.0,78.0,56.0,3.4,10027.0,0,0,0,0,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,"Belleville, Illinois, USA",1957-8-17,Ken Kwapis,35.0,"Nominated for
        2
        Primetime Emmys.",58.2669404517,"Santa Monica, California, USA",1936-8-18,Robert Redford,72.0,"Won
        1
        Oscar.",79.2635181383,0,0,0,1,/wiki/A_Walk_in_the_Woods_(film),http://www.imdb.com/title/tt1178665/,,,28817976.0
30,tt1243974,Aloha,2015-05-29 00:00:00,3 nominations.,Cameron Crowe,Emma Stone,USA,English,PG-13,105.0,2015,40.0,5.5,"26,271","Meandering and insubstantial, Aloha finds writer-director Cameron Crowe at his most sentimental and least compelling.",26.0,19.0,4.3,139.0,113.0,30.0,2.6,28683.0,0,0,0,0,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,"Palm Springs, California, USA",1957-7-13,Cameron Crowe,13.0,"Won
        1
        Oscar.",58.3627652293,"Scottsdale, Arizona, USA",1988-11-6,Emma Stone,35.0,"Nominated for
        1
        Oscar.",27.0444900753,0,1,1,0,/wiki/Aloha_(film),http://www.imdb.com/title/tt1243974/,http://www.rottentomatoes.com/m/aloha_2015/,,20991497.0
31,tt1243974,Aloha,2015-05-29 00:00:00,3 nominations.,Cameron Crowe,Bradley Cooper,USA,English,PG-13,105.0,2015,40.0,5.5,"26,271","Meandering and insubstantial, Aloha finds writer-director Cameron Crowe at his most sentimental and least compelling.",26.0,19.0,4.3,139.0,113.0,30.0,2.6,28683.0,0,0,0,0,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,"Palm Springs, California, USA",1957-7-13,Cameron Crowe,13.0,"Won
        1
        Oscar.",58.3627652293,"Philadelphia, Pennsylvania, USA",1975-1-5,Bradley Cooper,54.0,"Nominated for
        4
        Oscars.",40.8815879535,0,1,4,0,/wiki/Aloha_(film),http://www.imdb.com/title/tt1243974/,http://www.rottentomatoes.com/m/aloha_2015/,,20991497.0
