imdbID,Title,Released,Awards,Director,Actors,Country,Language,Rated,Runtime,Year,Metascore,imdbRating,imdbVotes,tomatoConsensus,tomatoFresh,tomatoMeter,tomatoRating,tomatoReviews,tomatoRotten,tomatoUserMeter,tomatoUserRating,tomatoUserReviews,Nominated Oscars,Won Oscars,Other wins,Other nominations,Action,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,History,Horror,Music,Musical,Mystery,N/A,Romance,Sci-Fi,Sport,Thriller,War,Western
tt1018765,Our Brand Is Crisis,2015-10-30 00:00:00,N/A,David Gordon Green,Billy Bob Thornton,USA,"English, Spanish",R,107.0,2015,52,5.6,"1,443","Our Brand Is Crisis offers sporadic amusement and benefits from a talented cast, but ultimately lacks enough of a bite to add much of interest to the political satire genre.",37,33,5.3,113,76,43,3.1,5341,0,0,0,0,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
tt1018765,Our Brand Is Crisis,2015-10-30 00:00:00,N/A,David Gordon Green,Sandra Bullock,USA,"English, Spanish",R,107.0,2015,52,5.6,"1,443","Our Brand Is Crisis offers sporadic amusement and benefits from a talented cast, but ultimately lacks enough of a bite to add much of interest to the political satire genre.",37,33,5.3,113,76,43,3.1,5341,0,0,0,0,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
tt1018765,Our Brand Is Crisis,2015-10-30 00:00:00,N/A,David Gordon Green,Anthony Mackie,USA,"English, Spanish",R,107.0,2015,52,5.6,"1,443","Our Brand Is Crisis offers sporadic amusement and benefits from a talented cast, but ultimately lacks enough of a bite to add much of interest to the political satire genre.",37,33,5.3,113,76,43,3.1,5341,0,0,0,0,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
tt1029360,Poltergeist,2015-05-22 00:00:00,N/A,Gil Kenan,Kyle Catlett,"USA, Canada",English,PG-13,93.0,2015,47,5.0,"32,812","Paying competent homage without adding anything of real value to the original Poltergeist, this remake proves just as ephemeral (but half as haunting) as its titular spirit.",32,31,4.8,102,70,23,2.5,35883,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False
tt1029360,Poltergeist,2015-05-22 00:00:00,N/A,Gil Kenan,Sam Rockwell,"USA, Canada",English,PG-13,93.0,2015,47,5.0,"32,812","Paying competent homage without adding anything of real value to the original Poltergeist, this remake proves just as ephemeral (but half as haunting) as its titular spirit.",32,31,4.8,102,70,23,2.5,35883,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False
tt1029360,Poltergeist,2015-05-22 00:00:00,N/A,Gil Kenan,Rosemarie DeWitt,"USA, Canada",English,PG-13,93.0,2015,47,5.0,"32,812","Paying competent homage without adding anything of real value to the original Poltergeist, this remake proves just as ephemeral (but half as haunting) as its titular spirit.",32,31,4.8,102,70,23,2.5,35883,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False
tt1029360,Poltergeist,2015-05-22 00:00:00,N/A,Gil Kenan,Saxon Sharbino,"USA, Canada",English,PG-13,93.0,2015,47,5.0,"32,812","Paying competent homage without adding anything of real value to the original Poltergeist, this remake proves just as ephemeral (but half as haunting) as its titular spirit.",32,31,4.8,102,70,23,2.5,35883,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False
tt1051904,Goosebumps,2015-10-16 00:00:00,N/A,Rob Letterman,Jack Black,"USA, Australia",English,PG,103.0,2015,59,7.0,"7,603",Goosebumps boasts just enough of its spooky source material's kid-friendly charm to make up for the script's scattershot humor and a punishingly frantic pace.,72,74,6.3,97,25,72,3.8,37391,0,0,0,0,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
tt1051904,Goosebumps,2015-10-16 00:00:00,N/A,Rob Letterman,Odeya Rush,"USA, Australia",English,PG,103.0,2015,59,7.0,"7,603",Goosebumps boasts just enough of its spooky source material's kid-friendly charm to make up for the script's scattershot humor and a punishingly frantic pace.,72,74,6.3,97,25,72,3.8,37391,0,0,0,0,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
tt1051904,Goosebumps,2015-10-16 00:00:00,N/A,Rob Letterman,Ryan Lee,"USA, Australia",English,PG,103.0,2015,59,7.0,"7,603",Goosebumps boasts just enough of its spooky source material's kid-friendly charm to make up for the script's scattershot humor and a punishingly frantic pace.,72,74,6.3,97,25,72,3.8,37391,0,0,0,0,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
tt1051904,Goosebumps,2015-10-16 00:00:00,N/A,Rob Letterman,Dylan Minnette,"USA, Australia",English,PG,103.0,2015,59,7.0,"7,603",Goosebumps boasts just enough of its spooky source material's kid-friendly charm to make up for the script's scattershot humor and a punishingly frantic pace.,72,74,6.3,97,25,72,3.8,37391,0,0,0,0,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
tt1137470,Accidental Love,2015-02-10 00:00:00,N/A,David O. Russell,Beverly D'Angelo,"USA, UK",English,PG-13,100.0,2015,20,4.1,"3,562",N/A,2,7,3.2,29,27,16,2.0,4625,0,0,0,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
tt1137470,Accidental Love,2015-02-10 00:00:00,N/A,David O. Russell,Jessica Biel,"USA, UK",English,PG-13,100.0,2015,20,4.1,"3,562",N/A,2,7,3.2,29,27,16,2.0,4625,0,0,0,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
tt1137470,Accidental Love,2015-02-10 00:00:00,N/A,David O. Russell,Raymond L. Brown Jr.,"USA, UK",English,PG-13,100.0,2015,20,4.1,"3,562",N/A,2,7,3.2,29,27,16,2.0,4625,0,0,0,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
tt1137470,Accidental Love,2015-02-10 00:00:00,N/A,David O. Russell,Jenny Gulley,"USA, UK",English,PG-13,100.0,2015,20,4.1,"3,562",N/A,2,7,3.2,29,27,16,2.0,4625,0,0,0,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
tt1167611,Don't Be Bad,2015-09-08 00:00:00,8 wins.,Claudio Caligari,Luca Marinelli,Italy,Italian,N/A,100.0,2015,N/A,7.3,285,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
