,imdbID,Title,Released,Director,Actors,Country,Language,Rated,Runtime,Year,imdbRating,imdbVotes,tomatoConsensus,tomatoFresh,tomatoMeter,tomatoRating,tomatoReviews,tomatoRotten,tomatoUserMeter,tomatoUserRating,tomatoUserReviews,Nominated Oscars,Won Oscars,Othter wins,Othter nominations,Action,Adventure,Animation,Biography,Comedy,Crime,Drama,Family,Fantasy,Film-Noir,History,Horror,Music,Musical,Mystery,Romance,Sci-Fi,Sport,Thriller,War,Western,bp_n,bp_w,fl_n,fl_w,fs_n,fs_w,ml_n,ml_w,ms_n,ms_w,movie_url,imdb_link,rt_link,budget_USD,box_USD,A_mean_age,A_mean_credit,D_mean_age,D_mean_credit,mean_rate,Anominated,Awon,Dnominated,Dwon
21,tt0019729,The Broadway Melody,1929-06-06 00:00:00,Harry Beaumont,Bessie Love,USA,English,PASSED,100.0,1929,6.4,4247,"The Broadway Melody is interesting as an example of an early Hollywood musical, but otherwise, it's essentially bereft of appeal for modern audiences.",8.0,42.0,5.4,19.0,11.0,22.0,2.8,1717.0,0,1,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,True,True,False,False,False,False,False,False,False,/wiki/The_Broadway_Melody,http://www.imdb.com/title/tt0019729/,http://www.rottentomatoes.com/m/broadway_melody/,,38923527.1579,28.7244464365,65.6666666667,41.3169062286,99.0,6.0,1,0,1,0
22,tt0019729,The Broadway Melody,1929-06-06 00:00:00,Harry Beaumont,Anita Page,USA,English,PASSED,100.0,1929,6.4,4247,"The Broadway Melody is interesting as an example of an early Hollywood musical, but otherwise, it's essentially bereft of appeal for modern audiences.",8.0,42.0,5.4,19.0,11.0,22.0,2.8,1717.0,0,1,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,True,True,False,False,False,False,False,False,False,/wiki/The_Broadway_Melody,http://www.imdb.com/title/tt0019729/,http://www.rottentomatoes.com/m/broadway_melody/,,38923527.1579,28.7244464365,65.6666666667,41.3169062286,99.0,6.0,1,0,1,0
23,tt0019735,Bulldog Drummond,1929-05-02 00:00:00,F. Richard Jones,Lawrence Grant,USA,English,,90.0,1929,6.8,419,,,,,,,,,,2,0,1,0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,/wiki/Bulldog_Drummond_(1929_film),http://www.imdb.com/title/tt0019735/,,,22178647.9532,50.7411970492,81.0,35.6468172485,70.0,6.8,0,1,0,0
24,tt0019735,Bulldog Drummond,1929-05-02 00:00:00,F. Richard Jones,Ronald Colman,USA,English,,90.0,1929,6.8,419,,,,,,,,,,2,0,1,0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,/wiki/Bulldog_Drummond_(1929_film),http://www.imdb.com/title/tt0019735/,,,22178647.9532,50.7411970492,81.0,35.6468172485,70.0,6.8,0,1,0,0
25,tt0019788,Coquette,1929-04-06 00:00:00,Sam Taylor,Mary Pickford,USA,English,UNRATED,76.0,1929,7.3,1595,,,,,,,22.0,2.7,289.0,0,0,0,0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,/wiki/Coquette_(movie),http://www.imdb.com/title/tt0019788/,,,19406316.9591,32.0027900003,210.0,33.6454483231,23.0,6.35,0,1,0,0
26,tt0019788,Coquette,1929-04-06 00:00:00,Sam Taylor,Johnny Mack Brown,USA,English,UNRATED,76.0,1929,7.3,1595,,,,,,,22.0,2.7,289.0,0,0,0,0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,/wiki/Coquette_(movie),http://www.imdb.com/title/tt0019788/,,,19406316.9591,32.0027900003,210.0,33.6454483231,23.0,6.35,0,1,0,0
27,tt0019823,Disraeli,1929-11-01 00:00:00,Alfred E. Green,Joan Bennett,USA,English,PASSED,90.0,1929,6.4,713,,,,,,,0.0,2.5,51.0,0,1,2,2,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,True,False,False,/wiki/Disraeli_(1929_film),http://www.imdb.com/title/tt0019823/,,,124754894.737,28.1893123654,61.5,40.3066392882,11.0,5.7,0,1,0,0
28,tt0019823,Disraeli,1929-11-01 00:00:00,Alfred E. Green,George Arliss,USA,English,PASSED,90.0,1929,6.4,713,,,,,,,0.0,2.5,51.0,0,1,2,2,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,True,False,False,/wiki/Disraeli_(1929_film),http://www.imdb.com/title/tt0019823/,,,124754894.737,28.1893123654,61.5,40.3066392882,11.0,5.7,0,1,0,0
29,tt0019824,The Divine Lady,1929-08-20 00:00:00,Frank Lloyd,H.B. Warner,USA,English,NOT RATED,99.0,1929,6.3,428,,,,,,,18.0,3.0,193.0,0,1,0,0,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,/wiki/The_Divine_Lady,http://www.imdb.com/title/tt0019824/,,,401987994.152,47.3050860843,104.0,43.5427789185,13.0,6.15,2,0,0,2
30,tt0019824,The Divine Lady,1929-08-20 00:00:00,Frank Lloyd,Corinne Griffith,USA,English,NOT RATED,99.0,1929,6.3,428,,,,,,,18.0,3.0,193.0,0,1,0,0,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,/wiki/The_Divine_Lady,http://www.imdb.com/title/tt0019824/,,,401987994.152,47.3050860843,104.0,43.5427789185,13.0,6.15,2,0,0,2
